,radius,start_time,a_avg,b_avg,bstd_avg,n_avg,mc_avg,a_std,b_std,bstd_std,n_std,mc_std,diff
155,4,2003-01-31 00:00:00+00:00,,,,,,,,,,,
156,4,2003-07-31 00:00:00+00:00,,,,,,,,,,,
157,4,2004-01-31 00:00:00+00:00,,,,,,,,,,,
158,4,2004-07-31 00:00:00+00:00,,,,,,,,,,,
159,4,2005-01-31 00:00:00+00:00,,,,,,,,,,,
160,4,2005-07-31 00:00:00+00:00,,,,,,,,,,,
161,4,2006-01-31 00:00:00+00:00,,,,,,,,,,,
162,4,2006-07-31 00:00:00+00:00,,,,,,,,,,,
163,4,2007-01-31 00:00:00+00:00,,,,,,,,,,,
164,4,2007-07-31 00:00:00+00:00,,,,,,,,,,,
165,4,2008-01-31 00:00:00+00:00,,,,,,,,,,,
166,4,2008-07-31 00:00:00+00:00,,,,,,,,,,,
167,4,2009-01-31 00:00:00+00:00,,,,,,,,,,,
168,4,2009-07-31 00:00:00+00:00,,,,,,,,,,,
169,4,2010-01-31 00:00:00+00:00,,,,,,,,,,,
170,4,2010-07-31 00:00:00+00:00,,,,,,,,,,,
171,4,2011-01-31 00:00:00+00:00,,,,,,,,,,,
172,5,1990-01-31 00:00:00+00:00,8.273965537123154,3.8860642677351582,2.0714573684919942e-16,3.022222222222222,1.0288888888888896,10.11951139317611,3.893860292463297,5.555855817225859e-16,1.6958493796920016,0.19444212590021284,
173,5,1990-07-31 00:00:00+00:00,7.443326368871165,3.662894555660835,5.222173063038836e-16,2.868131868131868,1.0329670329670333,9.465353808943165,3.6942125618203416,9.319938637394078e-16,1.572038953495261,0.1770467264468432,-0.223169712074323
174,5,1991-01-31 00:00:00+00:00,7.58786931037293,3.5725772350395086,3.8477648726825476e-16,3.1707317073170733,1.034146341463415,9.827074668889587,3.7629352489580254,8.820944028217677e-16,1.6689234946018607,0.17012668641601855,-0.09031732062132658
175,5,1991-07-31 00:00:00+00:00,6.220188036828483,3.119636964707458,4.65263270451668e-16,3.1648351648351647,1.0219780219780228,8.813587505412727,3.5376128009775676,9.047235357009903e-16,1.5794776651632956,0.1860717888953362,-0.4529402703320504
176,5,1992-01-31 00:00:00+00:00,5.595099385579628,2.71622992261013,3.125527018374702e-16,3.2967032967032965,1.0340659340659348,8.563624175306375,3.373285357884964,6.756074538623976e-16,1.441407533508715,0.1833150174000908,-0.40340704209732836
177,5,1992-07-31 00:00:00+00:00,5.969608028521502,3.2655904647723903,7.658307326209834e-16,2.956043956043956,1.0560439560439567,8.14883724595063,3.4666731349419044,1.2430527235936299e-15,1.4135226910263587,0.1707557002196682,0.5493605421622605
178,5,1993-01-31 00:00:00+00:00,5.753385984173434,2.7320966963611824,3.2967551699944994e-16,3.402173913043478,0.9967391304347835,8.7558702769734,3.3496681491741525,7.686470417906579e-16,1.6039770805458502,0.19636873084068857,-0.533493768411208
179,5,1993-07-31 00:00:00+00:00,7.433730318324202,3.2182863294980852,3.640821954651852e-16,3.1363636363636362,1.0465909090909096,10.166704436162023,3.618655349121305,7.788504662309787e-16,1.4318368411980162,0.17015804934085793,0.4861896331369029
180,5,1994-01-31 00:00:00+00:00,11.169972006477431,5.366962992592138,4.1051985640652937e-16,2.632911392405063,0.9632911392405068,10.982094436661653,3.864097887371036,1.4183185316375985e-15,1.451588124018526,0.17699573744677172,2.148676663094053
181,5,1994-07-31 00:00:00+00:00,11.121631029928785,4.668799453857809,2.6621144061057413e-16,2.6338028169014085,0.9915492957746486,11.776068094494091,3.967474999922866,1.0451349437901676e-15,1.375701759827308,0.16625838657535397,-0.6981635387343292
182,5,1995-01-31 00:00:00+00:00,11.04991215693485,4.720129115219399,9.6068485148391e-17,2.6,1.0047058823529413,11.657408283026284,4.0637375913971505,2.1770659512666908e-16,1.3201731488169053,0.15345689820872546,0.05132966136159034
183,5,1995-07-31 00:00:00+00:00,11.536428816568844,5.032801662215738,1.847315521983007e-16,2.5822784810126582,0.9784810126582285,11.561046702617402,3.88978394142475,4.617505538208088e-16,1.4197110119145766,0.1823429328152844,0.31267254699633895
184,5,1996-01-31 00:00:00+00:00,11.659275035046841,4.857014647945861,3.1522509480479434e-16,2.54320987654321,0.981481481481482,11.843280436112758,3.9800087621513147,7.82372443937857e-16,1.4146499807023762,0.17472200141303823,-0.17578701426987742
185,5,1996-07-31 00:00:00+00:00,10.483989975598705,4.759648964206035,2.5029876627486906e-16,2.7567567567567566,0.9621621621621628,11.219768857902334,3.9281136735288094,6.133225153919306e-16,1.3829768449691568,0.1772721015860659,-0.09736568373982557
186,5,1997-01-31 00:00:00+00:00,10.554233382435017,4.340161812251497,1.0566038417738935e-16,2.635135135135135,0.9878378378378385,11.754749646954114,3.9734411622970494,3.360950575533826e-16,1.3300975793262062,0.16548202956916358,-0.419487151954538
187,5,1997-07-31 00:00:00+00:00,9.620956906535701,4.270579070234848,1.3234516673723023e-16,2.4473684210526314,1.0000000000000004,11.225549419221531,4.041363294960422,3.7614094272247215e-16,1.1122917703804789,0.13165611772087668,-0.06958274201664949
188,5,1998-01-31 00:00:00+00:00,11.504565413695891,4.680151836948388,3.170546294314215e-16,2.551282051282051,0.997435897435898,11.943996046918112,4.0038305495063025,1.107435444966974e-15,1.420146653277934,0.16033597758340368,0.4095727667135405
189,5,1998-07-31 00:00:00+00:00,11.450931563657894,5.265168073059932,2.6924860918853556e-16,2.5974025974025974,0.9857142857142865,11.290264764774104,3.8524937919932194,6.888349293534408e-16,1.3979283569073908,0.17896948116360492,0.5850162361115441
190,5,1999-01-31 00:00:00+00:00,10.45032008568114,5.119479757685613,3.5991921135956285e-16,2.776315789473684,0.9605263157894742,10.806264736844494,3.8909965198491467,1.1362599892942415e-15,1.3913895616543561,0.1774477931625119,-0.14568831537431937
191,5,1999-07-31 00:00:00+00:00,8.805751087421358,4.245952632940306,2.9189453530568007e-16,2.780821917808219,0.9534246575342471,10.554883459445053,3.9322679873710324,1.028718895766616e-15,1.37685809143767,0.15906165102879466,-0.8735271247453067
192,5,2000-01-31 00:00:00+00:00,13.476953684614232,5.824511171058213,7.699273726210542e-17,2.261904761904762,1.022619047619048,11.646818235497118,3.87585352410666,2.3468972182640225e-16,1.1834098946570586,0.144248104935196,1.5785585381179068
193,5,2000-07-31 00:00:00+00:00,12.636600282899106,5.254736834461099,6.162405200948978e-16,2.5,1.014634146341464,11.898111970146967,3.949461764312975,3.132664415316187e-15,1.3170299545699664,0.1611087748639134,-0.5697743365971144
