radius,start_time,a_avg,b_avg,bstd_avg,n_avg,mc_avg,a_std,b_std,bstd_std,n_std,mc_std
21.0,2011-04-30 00:00:00+00:00,3.40138659826,0.724165940037,1.19321024029e-15,1252.2,0.429,0.00967589803573,0.0140230627006,8.32868618733e-16,226.492972665,0.111798429725
21.0,2011-05-31 00:00:00+00:00,3.3940343958,0.725766268125,6.78505070588e-16,1293.1,0.391,0.0117093314176,0.0158447751056,5.90981653716e-16,121.452734291,0.0508702052068
21.0,2011-06-30 00:00:00+00:00,3.37480151508,0.716164260619,1.19898402302e-15,1219.5,0.406,0.0109890828701,0.0231143694789,7.74120031744e-16,136.663617852,0.0691536132261
21.0,2011-07-31 00:00:00+00:00,3.37031712985,0.715243309235,4.68352959772e-16,1278.9,0.368,0.0141440714006,0.0217482721204,3.62347659382e-16,73.5684866109,0.037947331922
21.0,2011-08-31 00:00:00+00:00,3.35853595485,0.722639265039,5.76591688304e-16,1230.1,0.38,0.00773611781549,0.0179681427409,4.88372206296e-16,218.238121734,0.105409255339
21.0,2011-09-30 00:00:00+00:00,3.3451053953,0.720217453869,1.22164584448e-15,1182.7,0.381,0.0132599240877,0.0193217580432,7.62295582776e-16,133.836591907,0.0691937697902
21.0,2011-10-31 00:00:00+00:00,3.34829788034,0.729642170947,8.38385127422e-16,1180.5,0.377,0.0151588329294,0.0220721329008,3.03518211474e-16,42.7895366234,0.0125166555703
21.0,2011-11-30 00:00:00+00:00,3.32438292703,0.698381369787,5.27587764881e-16,1233.3,0.335,0.0109072796169,0.0153610823701,4.41335365171e-16,113.246093874,0.0632894584868
21.0,2011-12-31 00:00:00+00:00,3.31239161143,0.70955095631,8.87175514104e-16,1050.0,0.412,0.0130839463471,0.0230515009289,5.39451289884e-16,99.2695544689,0.0509465951321
21.0,2012-01-31 00:00:00+00:00,3.30602808227,0.693799699854,5.15584246616e-16,1105.0,0.384,0.0110110401831,0.0143124291037,5.09387630278e-16,185.029727341,0.100576118217
21.0,2012-02-29 00:00:00+00:00,3.30907956321,0.708510921153,7.14913559332e-16,1105.2,0.38,0.017375772592,0.0191926079995,3.85165216443e-16,167.199016478,0.0971825315808
21.0,2012-03-31 00:00:00+00:00,3.29078774691,0.705220163317,3.41766036806e-16,1116.2,0.35,0.0179822651676,0.0222175846834,2.10925031714e-16,169.201917509,0.0909212113132
21.0,2012-04-30 00:00:00+00:00,3.27190229493,0.698083528985,1.34667092154e-15,918.7,0.444,0.0120498191515,0.0147339005468,6.99625616506e-16,116.61432159,0.0648416875509
21.0,2012-05-31 00:00:00+00:00,3.26554838433,0.70588341325,7.39706694059e-16,934.6,0.419,0.0100683733092,0.0139090190512,4.16155177774e-16,98.8221747495,0.0675688948819
21.0,2012-06-30 00:00:00+00:00,3.25766060423,0.707318057166,4.54232683386e-16,989.7,0.373,0.00930337266506,0.0196806018033,4.050580916e-16,108.954679671,0.0702456008903
21.0,2012-07-31 00:00:00+00:00,3.25211069165,0.701264835081,6.0817334751e-16,1066.0,0.323,0.0153073687695,0.0328465739929,5.32176027165e-16,142.204860051,0.0842021377401
21.0,2012-08-31 00:00:00+00:00,3.24861338556,0.73109517646,5.49474920844e-16,898.3,0.404,0.0142191942998,0.026714765042,3.79106425291e-16,87.9773329393,0.0579655069848
21.0,2012-09-30 00:00:00+00:00,3.23266821808,0.712946318331,5.0422503132e-16,947.6,0.364,0.0104436963241,0.01759866641,3.4148797712e-16,140.990306995,0.0884684501202
