,radius,start_time,a,b,bstd,n,mc
165,4,2008-01-31 00:00:00+00:00,,,,,
166,4,2008-07-31 00:00:00+00:00,,,,,
167,4,2009-01-31 00:00:00+00:00,,,,,
168,4,2009-07-31 00:00:00+00:00,,,,,
169,4,2010-01-31 00:00:00+00:00,,,,,
170,4,2010-07-31 00:00:00+00:00,,,,,
171,4,2011-01-31 00:00:00+00:00,,,,,
172,5,1990-01-31 00:00:00+00:00,1.2702053481021958,0.6681453567742334,6.581416077382849e-17,4.0,1.0
173,5,1990-07-31 00:00:00+00:00,1.2702053481021958,0.6681453567742334,6.581416077382849e-17,4.0,1.0
174,5,1991-01-31 00:00:00+00:00,1.2702053481021958,0.6681453567742334,6.581416077382849e-17,4.0,1.0
175,5,1991-07-31 00:00:00+00:00,1.2702053481021958,0.6681453567742334,6.581416077382849e-17,4.0,1.0
176,5,1992-01-31 00:00:00+00:00,1.2702053481021958,0.6681453567742334,6.581416077382849e-17,4.0,1.0
177,5,1992-07-31 00:00:00+00:00,1.2702053481021958,0.6681453567742334,6.581416077382849e-17,4.0,1.0
178,5,1993-01-31 00:00:00+00:00,1.2702053481021958,0.6681453567742334,6.581416077382849e-17,4.0,1.0
179,5,1993-07-31 00:00:00+00:00,1.2702053481021958,0.6681453567742334,6.581416077382849e-17,4.0,1.0
180,5,1994-01-31 00:00:00+00:00,1.056180563923998,0.5790593092043357,6.990987604831656e-17,3.0,1.0
181,5,1994-07-31 00:00:00+00:00,1.056180563923998,0.5790593092043357,6.990987604831656e-17,3.0,1.0
182,5,1995-01-31 00:00:00+00:00,1.056180563923998,0.5790593092043357,6.990987604831656e-17,3.0,1.0
183,5,1995-07-31 00:00:00+00:00,1.056180563923998,0.5790593092043357,6.990987604831656e-17,3.0,1.0
184,5,1996-01-31 00:00:00+00:00,1.056180563923998,0.5790593092043357,6.990987604831656e-17,3.0,1.0
185,5,1996-07-31 00:00:00+00:00,1.056180563923998,0.5790593092043357,6.990987604831656e-17,3.0,1.0
186,5,1997-01-31 00:00:00+00:00,1.056180563923998,0.5790593092043357,6.990987604831656e-17,3.0,1.0
187,5,1997-07-31 00:00:00+00:00,1.056180563923998,0.5790593092043357,6.990987604831656e-17,3.0,1.0
188,5,1998-01-31 00:00:00+00:00,1.056180563923998,0.5790593092043357,6.990987604831656e-17,3.0,1.0
189,5,1998-07-31 00:00:00+00:00,1.056180563923998,0.5790593092043357,6.990987604831656e-17,3.0,1.0
