radius,start_time,a_avg,b_avg,bstd_avg,n_avg,mc_avg,a_std,b_std,bstd_std,n_std,mc_std,diff
16,1990-07-31 00:00:00+00:00,2.3714325514470733,0.6854528248470692,3.3289050208764893e-16,26.45,1.2480000000000009,0.890436003398132,0.398144377645248,1.3609810638087544e-15,7.5976804009347125,0.29387003242861653,-0.006483929992654014
16,1991-01-31 00:00:00+00:00,2.307164737380155,0.6532362431300757,2.0332953040407325e-16,27.4,1.2350000000000012,0.2996465807929396,0.1462248002112447,1.7193198402736515e-16,7.74857432308706,0.2555939804226281,-0.032216581716993486
16,1991-07-31 00:00:00+00:00,2.245923734993421,0.6227070067063477,1.9674536263100624e-16,28.09,1.195000000000001,0.2900992271274938,0.14311341342139583,2.406763465935433e-16,7.208433612895049,0.24136606173523176,-0.030529236423727957
16,1992-01-31 00:00:00+00:00,2.392297276633135,0.685622474067253,2.798995304145993e-16,27.92,1.2490000000000008,0.7169426415813255,0.32684216057551213,3.832064709385627e-16,8.438344420895403,0.32270792373352736,0.06291546736090525
16,1992-07-31 00:00:00+00:00,2.3578237019461925,0.6741254050830713,2.0586188379390232e-16,28.37,1.232000000000001,0.39932435450369047,0.17928359977711655,2.1025399791296317e-16,8.906534883800976,0.3190516249667744,-0.01149706898418168
16,1993-01-31 00:00:00+00:00,2.409448834635866,0.7035636757256136,3.093225853692501e-16,26.84,1.2430000000000012,1.0656228390282307,0.48402530368692254,1.1247681363357834e-15,7.872365680920914,0.27386312293006904,0.02943827064254234
16,1993-07-31 00:00:00+00:00,2.3484764212476246,0.6700661885006147,2.4838396136917744e-16,27.12,1.251000000000001,0.4945700650960539,0.23329667171513155,3.3834386111377303e-16,7.808671688280506,0.29797125479963465,-0.0334974872249989
16,1994-01-31 00:00:00+00:00,2.4215163778526128,0.705552990725388,3.041169716484361e-16,27.36,1.2290000000000012,1.224035759955773,0.544980961026091,1.0120742335711401e-15,8.252970080614318,0.30954348921786684,0.035486802224773295
16,1994-07-31 00:00:00+00:00,2.2916766204347176,0.6444587063959013,2.2610438173920205e-16,27.48,1.2230000000000012,0.3272669561648391,0.15061767088016098,3.376843886971971e-16,7.0359538418501915,0.2597026271439213,-0.061094284329486714
16,1995-01-31 00:00:00+00:00,2.459091324548064,0.7284903451482555,2.2089221975205527e-16,26.97,1.236000000000001,1.0748690640387348,0.47621807580272774,3.8547404897322894e-16,7.905317223492073,0.29559732369860475,0.0840316387523542
16,1995-07-31 00:00:00+00:00,2.441864899075189,0.7253826415296923,2.857970377379252e-16,26.27,1.2660000000000013,0.5046682816225915,0.2342837538820537,3.6713916665419624e-16,6.951280675552028,0.28041095383437353,-0.0031077036185631624
16,1996-01-31 00:00:00+00:00,2.399565169134752,0.694008607146027,3.289618500287092e-16,26.07,1.2980000000000007,0.7835516797015497,0.34373645501510036,9.96618224823526e-16,8.597926693938685,0.3299770423602958,-0.03137403438366537
16,1996-07-31 00:00:00+00:00,2.2646244757115968,0.6387944028469053,2.273330950981176e-16,27.91,1.191000000000001,0.25096961474944063,0.134418756022333,2.1278305883177623e-16,7.5800042642774725,0.24540010619641553,-0.055214204299121716
16,1997-01-31 00:00:00+00:00,2.3932329180197165,0.6972533782209308,2.78463539385716e-16,26.14,1.2750000000000012,0.472298945965659,0.2301467095369076,5.92898234703097e-16,7.423713029981368,0.2801064011399882,0.05845897537402556
16,1997-07-31 00:00:00+00:00,2.3229219004549755,0.6684357158840077,2.4960928794962e-16,27.29,1.2230000000000012,0.3385227831042028,0.18153356593592382,4.331239317174986e-16,6.516947603027513,0.23087667791277755,-0.028817662336923067
16,1998-01-31 00:00:00+00:00,2.518139263267142,0.8581542509909369,2.8880092625773435e-16,20.56,1.2060000000000008,1.8721645889512288,0.8592506926178007,4.1586872648519954e-16,6.861280617870961,0.24487473606649643,0.18971853510692915
16,1998-07-31 00:00:00+00:00,2.315484554298579,0.7457913145106283,2.3556586305540103e-16,21.78,1.189000000000001,0.5661182682880318,0.3072759254585167,3.3507566893019304e-16,6.849876501135482,0.21690895543867017,-0.1123629364803086
16,1999-01-31 00:00:00+00:00,2.5226397458306007,0.8492163486879697,2.765921925768949e-16,20.88,1.2140000000000013,1.8342165547111489,0.835861342089011,3.71602549616189e-16,6.53395173325647,0.2361389763711533,0.10342503417734139
16,1999-07-31 00:00:00+00:00,2.3979271529687574,0.7894097565545011,2.352739226333058e-16,20.3,1.2030000000000012,1.846617297781932,0.826860036529283,2.2195750140106498e-16,6.711214796175431,0.25641467362162573,-0.05980659213346862
16,2000-01-31 00:00:00+00:00,2.3551735903506006,0.771069743060483,2.9045484500553443e-16,20.61,1.1820000000000013,0.8328112947780698,0.3773707729893056,6.512136875595188e-16,6.639178177205885,0.23457677341600264,-0.018340013494018037
16,2000-07-31 00:00:00+00:00,2.4657319293806257,0.8126104424474866,2.6697281556555856e-16,19.75,1.2290000000000012,1.9343438268156958,0.8527207809923658,4.683650411948262e-16,6.93020762876393,0.2807979251124816,0.041540699387003555
16,2001-01-31 00:00:00+00:00,2.606234020965329,0.9607553227333473,3.711197038159384e-16,19.08,1.1820000000000008,2.0063727669197813,0.92395191178709,1.018875686734153e-15,6.889722986324111,0.22891046284519184,0.1481448802858607
16,2001-07-31 00:00:00+00:00,2.507715496413797,0.922907267987566,2.4312702826919974e-16,19.39,1.160000000000001,1.6929967943624562,0.8335389894239712,2.0013099457562838e-16,5.508294938664155,0.19332288373014025,-0.037848054745781345
16,2002-01-31 00:00:00+00:00,2.570300274575351,0.9541917881356181,3.458551031015977e-16,17.16,1.1600000000000008,2.4911525536767747,0.8198559884091794,4.019296911324685e-16,5.90278140225676,0.17291324385075263,0.031284520148052164
16,2002-07-31 00:00:00+00:00,2.848313202955353,1.032263661782198,3.6066377196874773e-16,16.87878787878788,1.1909090909090916,3.5384227145148857,1.1391075409593745,5.7516563756527275e-16,5.7201268846935935,0.2458184617578629,0.07807187364657997
16,2003-01-31 00:00:00+00:00,2.300027305197724,0.860736730831441,2.643939845228834e-16,16.81,1.148000000000001,0.45034811911582207,0.2602930295586176,3.23603179150708e-16,5.0326108251256345,0.12016823224298524,-0.1715269309507571
16,2003-07-31 00:00:00+00:00,2.2197236587871627,0.8397887581988762,2.7503928785167597e-16,15.141414141414142,1.1595959595959606,0.4301917976474744,0.25029384306684266,4.2645629130262916e-16,5.2625168592683575,0.18065594310574726,-0.02094797263256476
16,2004-01-31 00:00:00+00:00,2.4632156882418785,1.070687734439303,3.5404128681565217e-16,12.82,1.1570000000000014,0.559518514459749,0.31389135100410265,4.1434433232662573e-16,5.388689989039989,0.1296888272720204,0.23089897624042688
16,2004-07-31 00:00:00+00:00,2.604252377770519,1.266395646276803,5.767112790144019e-16,7.585858585858586,1.1393939393939396,2.607460699585172,1.2530529055979316,1.6128860191147892e-15,3.1396415400816293,0.14625821575959413,0.1957079118374998
16,2005-01-31 00:00:00+00:00,2.876892107274438,1.368579716799054,2.6480247098177534e-16,7.6421052631578945,1.149473684210526,3.6233465153068125,1.62538154194982,2.82641117224831e-16,3.161994352726478,0.24791628829554457,0.1021840705222512
16,2005-07-31 00:00:00+00:00,6.052821588546742,2.8990948672493997,4.211983469542438e-16,4.483516483516484,1.217582417582417,7.182598556725416,3.2760731565614374,1.259667547448901e-15,2.4053765580125672,0.3851676133244984,1.5305151504503456
16,2006-01-31 00:00:00+00:00,4.6785133678907656,2.4439072958411074,3.0985208981797085e-16,3.764044943820225,1.02247191011236,6.090382897096819,2.943108187754746,8.791923887630354e-16,1.8092092189564755,0.24483427093591117,-0.45518757140829225
16,2006-07-31 00:00:00+00:00,5.546190655345396,2.7918741489589847,3.5177535531189984e-16,3.3666666666666667,1.0299999999999998,6.961147969775918,3.230041426762953,9.1374941181029e-16,1.6107085467184654,0.30444275859088354,0.34796685311787723
16,2007-01-31 00:00:00+00:00,17.371779276130045,8.685889638065023,,1.0,0.8999999999999991,1.0760135140564312e-14,5.380067570282156e-15,,0.0,7.845931873328145e-16,5.894015489106038
17,1990-01-31 00:00:00+00:00,2.5048046908470094,0.7270056281374967,3.943073346515198e-16,31.5,1.2280000000000013,0.902063881231121,0.4026812654873677,1.0923377199835865e-15,9.948859129558423,0.2930439343763106,-7.958884009927526
17,1990-07-31 00:00:00+00:00,2.389307758066691,0.6715407517458176,2.3941765783538646e-16,33.41,1.185000000000001,0.2840561319100297,0.1485290963751663,2.147076465369068e-16,9.746374617354814,0.28154515937532454,-0.055464876391679074
17,1991-01-31 00:00:00+00:00,2.550914689731386,0.7548544206239619,2.692598595313107e-16,30.84,1.229000000000001,1.8209552880337505,0.8110262543852756,2.0971641001361622e-16,8.777519494985384,0.26064992583613733,0.08331366887814429
17,1991-07-31 00:00:00+00:00,2.458604360339088,0.7080838375851164,3.1150723919732364e-16,31.4,1.2350000000000012,0.5856881975568934,0.2623968710718511,9.090341025350581e-16,9.482573064268577,0.29657131596724823,-0.046770583038845515
17,1992-01-31 00:00:00+00:00,2.4253038903646673,0.6877094095349078,2.685821588871053e-16,31.5,1.2510000000000012,0.332367747345397,0.15612212946463908,2.2448121672508687e-16,10.734161458736413,0.3450940436893965,-0.020374428050208615
17,1992-07-31 00:00:00+00:00,2.407622795128537,0.6839074396186345,3.035611150966609e-16,32.59,1.2080000000000013,0.49848193964243365,0.23311793262581745,5.520278723003e-16,10.25246459652655,0.2990489977082402,-0.00380196991627324
17,1993-01-31 00:00:00+00:00,2.478323211639086,0.7156657151125132,2.8230110739533277e-16,30.14,1.277000000000001,0.6316159788775609,0.26971562675199695,3.3530509845372437e-16,10.681826348589183,0.3586886891966008,0.03175827549387866
17,1993-07-31 00:00:00+00:00,2.422282637434608,0.6979368420880199,2.6108830102346896e-16,30.92,1.2290000000000014,0.410688280705481,0.19121434270825027,3.7450677127537133e-16,8.526465038959936,0.2306315440066885,-0.01772887302449333
17,1994-01-31 00:00:00+00:00,2.445212732125611,0.6950473194340625,2.8906054339910684e-16,32.03,1.2110000000000012,0.7394381485034516,0.3345540707727609,5.303486601892061e-16,7.6837162200002505,0.22869634934126126,-0.002889522653957366
17,1994-07-31 00:00:00+00:00,2.445351252894917,0.7037589357413513,3.0164190121930686e-16,32.36,1.215000000000001,0.5028182106413037,0.24575146200661221,3.048966161010615e-16,9.612197638123316,0.2801064011399883,0.008711616307288783
17,1995-01-31 00:00:00+00:00,2.3890465368516156,0.6790827311013513,2.2168062219599815e-16,32.11,1.212000000000001,0.22983908031397246,0.1349600330723079,2.3615042021782163e-16,8.86588627233281,0.26257466470597357,-0.024676204639999977
17,1995-07-31 00:00:00+00:00,2.503651370467109,0.7266309784557301,2.549649413510866e-16,32.0,1.2260000000000009,0.8189157261553837,0.36878583149660316,2.8580209982147604e-16,10.263202878893768,0.3096495249194294,0.04754824735437879
17,1996-01-31 00:00:00+00:00,2.4911811515216407,0.7224776704719856,2.42081150138412e-16,31.6,1.2370000000000012,0.6510294540572324,0.2967706450211427,2.2438161401784255e-16,9.340906018825223,0.2787616917872341,-0.00415330798374447
17,1996-07-31 00:00:00+00:00,2.3820965980754014,0.674554455402584,2.501387701615761e-16,30.99,1.2490000000000014,0.28425535780293376,0.13883899014102813,2.4070277586418646e-16,9.7819613409974,0.3023460456383238,-0.04792321506940167
17,1997-01-31 00:00:00+00:00,2.6211283315273763,0.7736547000765193,2.514776422300801e-16,31.505050505050505,1.224242424242426,2.0728171206002663,0.8392167708885166,3.8278156628707557e-16,9.867875872350496,0.31333978072025603,0.0991002446739353
17,1997-07-31 00:00:00+00:00,2.342454512488452,0.6476339748979255,1.8701169518836987e-16,33.68,1.1710000000000012,0.2842227071675406,0.14150455566678202,1.6806108769944974e-16,9.536617361888371,0.26753457248502976,-0.12602072517859375
17,1998-01-31 00:00:00+00:00,2.3466288094789465,0.746856816915915,2.664310697086644e-16,25.66,1.195000000000001,0.28874562296812867,0.1832115453598597,2.2249868865199705e-16,8.956933999235826,0.25638315707612924,0.09922284201798948
17,1998-07-31 00:00:00+00:00,2.680966196549462,0.8676132864196809,2.9888320986683323e-16,25.58,1.2110000000000014,2.5269137465437788,0.854648791833465,3.437734398579096e-16,9.795051317018729,0.31937280707503873,0.12075646950376595
17,1999-01-31 00:00:00+00:00,2.3853700903900115,0.7747073365209094,3.2229555500776746e-16,25.67,1.164000000000001,0.2892112419517695,0.1897289031394324,3.4843149359694427e-16,7.2377447796222745,0.17027606817735544,-0.09290594989877154
17,1999-07-31 00:00:00+00:00,2.3248685065071046,0.7299754249780108,2.431916461105007e-16,25.32,1.1870000000000014,0.27613504149123624,0.16183443299111053,2.226459952001214e-16,8.885216413069,0.27178980291706467,-0.04473191154289857
17,2000-01-31 00:00:00+00:00,2.3362929253599427,0.7408344535318315,2.2278111074822164e-16,27.07070707070707,1.1444444444444455,0.3311282681853292,0.1691137927294458,2.1307767415532354e-16,8.704036742649842,0.24917096098954525,0.010859028553820704
17,2000-07-31 00:00:00+00:00,3.2607363924123587,1.0562470675283029,2.4982667504833515e-16,24.73,1.2020000000000013,4.58658820072257,1.5745272101787362,2.4716346484266813e-16,9.142922415892542,0.31749652030225556,0.31541261399647136
17,2001-01-31 00:00:00+00:00,2.6651463635744905,0.9271259366296072,3.1591083583640584e-16,22.67,1.175000000000001,2.4719914628274196,0.8063965676471959,4.2515168202880087e-16,7.820014466906455,0.22264480023280828,-0.1291211308986957
17,2001-07-31 00:00:00+00:00,2.630343793811184,0.948974767692131,4.576028023900469e-16,22.87,1.138000000000001,1.8742542270621079,0.8553328157153615,8.2623512161025e-16,8.233529625926545,0.2102331558008389,0.021848831062523777
17,2002-01-31 00:00:00+00:00,2.7721672561897877,1.0637139862715583,2.702582870636648e-16,19.17,1.1620000000000013,2.5729491496279318,1.144013268256156,2.550998760136662e-16,7.964637753561335,0.24650281208058553,0.11473921857942737
17,2002-07-31 00:00:00+00:00,2.3097635893744974,0.8531128347611338,3.143741327161605e-16,19.26,1.128000000000001,0.461974885380602,0.2761670048645778,3.2441894567803985e-16,7.672092941369394,0.21181276275202704,-0.21060115151042458
17,2003-01-31 00:00:00+00:00,3.0555629889833855,1.087350131157866,2.624665367182632e-16,19.303030303030305,1.141414141414142,4.335848633827184,1.388996779112757,4.327295453452015e-16,7.843435504897107,0.24743999520399143,0.2342372963967322
17,2003-07-31 00:00:00+00:00,2.1744073839590454,0.7944201150978671,2.341212259064029e-16,16.755102040816325,1.1326530612244907,0.20908668527519575,0.1443432286905132,1.9225886267065177e-16,6.56931514968433,0.1448607651477517,-0.2929300160599988
17,2004-01-31 00:00:00+00:00,2.704905624440873,1.1410243448487691,4.785608373947918e-16,15.15,1.144000000000001,1.9991592401828289,0.900963228897061,8.313929564663752e-16,6.970899105813711,0.21849808727175188,0.346604229750902
17,2004-07-31 00:00:00+00:00,2.5602429247536427,1.1421025344343532,2.706398075579476e-16,10.183673469387756,1.0948979591836734,3.0649638625818394,1.38518027620171,5.165611245596136e-16,5.141997964559719,0.22856452493256207,0.0010781895855840329
17,2005-01-31 00:00:00+00:00,4.044994480262663,1.817054545272972,2.4008437204041274e-16,9.76923076923077,1.1362637362637358,5.748978220290486,2.5696090934145808,2.274066061400545e-16,5.086096348711463,0.37991709139889496,0.6749520108386189
17,2005-07-31 00:00:00+00:00,5.207522310926718,2.353189994981285,3.2527634561323276e-16,6.130952380952381,1.1785714285714282,6.94728225417998,3.0292637638820126,7.427305033343959e-16,3.210599020431275,0.47187690567943397,0.5361354497083128
17,2006-01-31 00:00:00+00:00,5.664713614422432,2.7916515210016604,4.146100452821018e-16,4.898876404494382,1.095505617977529,7.078857369203587,3.260358747790989,1.2096925807787221e-15,2.4263934319939313,0.41803384822707146,0.43846152602037547
17,2006-07-31 00:00:00+00:00,4.434027205501892,2.2364193705838207,3.5503392776383863e-16,4.571428571428571,1.0483516483516486,6.336194404697189,3.053448888387708,1.1886142260848483e-15,2.006339160111476,0.3902599240285998,-0.5552321504178397
17,2007-01-31 00:00:00+00:00,17.37177927613005,8.685889638065024,,1.0,0.8999999999999999,7.280896430443988e-15,3.640448215221994e-15,,0.0,0.0,6.449470267481203
18,1990-01-31 00:00:00+00:00,2.410449757533307,0.63248800041102,2.1954733623475324e-16,37.43,1.1970000000000012,0.40599907413786684,0.18150277071972232,2.2969515582245903e-16,9.534896036362559,0.2683488608343833,-8.053401637654005
18,1990-07-31 00:00:00+00:00,2.6845785694986524,0.7016397989603844,2.492043589223999e-16,36.2,1.2190000000000012,3.0017963398869516,0.826341017000785,2.7917530656036893e-16,11.228571061395485,0.3469040562495979,0.06915179854936437
18,1991-01-31 00:00:00+00:00,2.337435643370763,0.6014706349056024,2.3721403214992727e-16,39.09,1.1490000000000007,0.33055124160432564,0.1683294684882664,2.8794004953697557e-16,9.622254298124624,0.2388926473747088,-0.10016916405478204
18,1991-07-31 00:00:00+00:00,2.3808426338760524,0.6107092482988888,2.1604203780108573e-16,37.2,1.2130000000000012,0.46306472373544977,0.18253518989154358,1.8714443858111855e-16,10.19506713756187,0.29358632340919644,0.009238613393286466
18,1992-01-31 00:00:00+00:00,2.405777510608256,0.6314774089682625,2.7382207510714467e-16,35.36,1.2360000000000015,0.4306586322286944,0.19716135499206328,3.4987694905499244e-16,10.39281025760141,0.3198863434522842,0.020768160669373703
18,1992-07-31 00:00:00+00:00,2.4213636222780783,0.6377112587897702,2.5962525880542986e-16,34.91,1.270000000000001,0.3743430425256024,0.16672086164483932,3.351535286015107e-16,11.313793315768107,0.35262364405047275,0.006233849821507653
18,1993-01-31 00:00:00+00:00,2.3556866892681367,0.6117362714634611,2.331062516744439e-16,37.68,1.180000000000001,0.26288622738740064,0.14207716378745913,2.0623093551601904e-16,10.062310917980074,0.23613042107609883,-0.025974987326309096
18,1993-07-31 00:00:00+00:00,2.3523932494209907,0.6090216089099182,2.264675853585245e-16,36.14,1.2230000000000012,0.2705730686591914,0.13149760765692284,2.0740190184220945e-16,11.664519282894178,0.3348013130080575,-0.0027146625535429125
18,1994-01-31 00:00:00+00:00,2.380233680404845,0.6156174469263155,2.221407055529675e-16,36.04,1.2200000000000013,0.3313697178342894,0.15269086852423924,2.0344790015326566e-16,10.362051978837068,0.30748244591432305,0.006595838016397293
18,1994-07-31 00:00:00+00:00,2.3854094312156726,0.6241731295559122,2.312426902652585e-16,36.2,1.2060000000000013,0.3600665578377136,0.1701959024465521,1.9402967958246409e-16,10.219806477837261,0.2987583733664474,0.008555682629596717
18,1995-01-31 00:00:00+00:00,2.3405744284932153,0.6027940294979067,2.2121990424318903e-16,38.26,1.1570000000000011,0.30450514300288106,0.13990600813733012,2.0519834925170505e-16,8.99115165486647,0.2323594394271709,-0.021379100058005474
